snapshot_date,id,name,full_name,html_url,description,stargazers_count,forks_count,open_issues_count,contributors_count,hot_score,language,topics,created_at,updated_at,pushed_at
2026-03-19,660551251,MetaGPT,FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",65585,8265,94,100,41840.5,Python,"agent,gpt,llm,metagpt,multi-agent",2023-06-30T09:04:55Z,2026-03-19T09:26:03Z,2026-01-21T10:12:33Z
2026-03-20,660551251,MetaGPT,FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",65631,8269,94,100,41869.3,Python,"agent,gpt,llm,metagpt,multi-agent",2023-06-30T09:04:55Z,2026-03-20T02:18:04Z,2026-01-21T10:12:33Z
2026-03-19,649170660,anything-llm,Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration.,56451,6098,306,100,35710.0,JavaScript,"ai-agents,custom-ai-agents,deepseek,kimi,llama3,llm,lmstudio,local-llm,localai,mcp,mcp-servers,moonshot,multimodal,no-code,ollama,qwen3,rag,vector-database,web-scraping",2023-06-04T02:29:14Z,2026-03-19T09:16:35Z,2026-03-19T02:56:49Z
2026-03-20,649170660,anything-llm,Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration.,56488,6101,305,100,35733.1,JavaScript,"ai-agents,custom-ai-agents,deepseek,kimi,llama3,llm,lmstudio,local-llm,localai,mcp,mcp-servers,moonshot,multimodal,no-code,ollama,qwen3,rag,vector-database,web-scraping",2023-06-04T02:29:14Z,2026-03-20T01:58:38Z,2026-03-20T01:48:10Z
2026-03-19,771302083,OpenHands,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,69388,8698,330,100,44252.2,Python,"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai",2024-03-13T03:33:31Z,2026-03-19T09:29:08Z,2026-03-19T09:10:08Z
2026-03-20,771302083,OpenHands,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,69440,8707,325,100,44286.1,Python,"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai",2024-03-13T03:33:31Z,2026-03-20T02:10:17Z,2026-03-20T02:23:37Z
2026-03-19,1136590548,everything-claude-code,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",86621,11339,66,92,55383.49999999999,JavaScript,"ai-agents,anthropic,claude,claude-code,developer-tools,llm,mcp,productivity",2026-01-18T00:51:51Z,2026-03-19T09:29:10Z,2026-03-18T21:34:15Z
2026-03-20,1136590548,everything-claude-code,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",88465,11581,69,92,56562.5,JavaScript,"ai-agents,anthropic,claude,claude-code,developer-tools,llm,mcp,productivity",2026-01-18T00:51:51Z,2026-03-20T02:32:41Z,2026-03-18T21:34:15Z
2026-03-19,881458615,browser-use,browser-use/browser-use,https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,81279,9603,224,100,51658.3,Python,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python",2024-10-31T16:00:56Z,2026-03-19T09:28:49Z,2026-03-19T01:08:01Z
2026-03-20,881458615,browser-use,browser-use/browser-use,https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,81337,9608,225,100,51694.6,Python,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python",2024-10-31T16:00:56Z,2026-03-20T02:25:31Z,2026-03-20T01:49:02Z
2026-03-19,574523116,prompts.chat,f/prompts.chat,https://github.com/f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",153284,20166,32,100,98030.2,HTML,"ai,artificial-intelligence,awesome-list,chatgpt,chatgpt-prompts,claude,gemini,gpt,gpt-4,llm,machine-learning,nextjs,open-source,openai,prompt-engineering,prompts,prompts-chat,typescript",2022-12-05T13:54:13Z,2026-03-19T09:22:49Z,2026-03-19T07:29:47Z
2026-03-20,574523116,prompts.chat,f/prompts.chat,https://github.com/f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",153370,20185,36,100,98087.5,HTML,"ai,artificial-intelligence,awesome-list,chatgpt,chatgpt-prompts,claude,gemini,gpt,gpt-4,llm,machine-learning,nextjs,open-source,openai,prompt-engineering,prompts,prompts-chat,typescript",2022-12-05T13:54:13Z,2026-03-20T02:30:04Z,2026-03-19T22:40:10Z
2026-03-19,787076358,firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data,95041,6510,219,100,58987.6,TypeScript,"ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping",2024-04-15T21:02:29Z,2026-03-19T09:28:14Z,2026-03-19T05:51:53Z
